id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
262778234,[Tặng Hũ Thủy Tinh NESCAFÉ HOẶC TRÀ SỮA NESTEA] Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35  gói Vị Mạnh đặc trưng,168000,300000,132000,5,49,,,,,,,,,,cà phê hòa tan nescafé
114809875,Cà phê hòa tan kết hợp rang xay NESCAFÉ RED CUP 200g,208000,209000,1000,4.8,245,,,,,,,,,,cà phê hòa tan kết hợp
272634995,Cà phê hoà tan NESCAFÉ 3IN1 VỊ NGUYÊN BẢN - công thức cải tiến (hộp 20 gói x 16g ),78000,90000,12000,4.8,13,,,,,,,,,,cà phê hòa tan nescafé
273523197,Ngũ cốc ăn sáng MILO (Hộp 300g),104000,110000,6000,5,10,,,,,,,,,,ngũ cốc ăn sáng
10240037,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp),407000,450000,43000,4.8,1692,,,,,,,,,,thùng hộp sữa nestlé
278678946,Trung Nguyên Legend - Cà phê sữa hòa tan G7 3in1 - Bịch 100 sticks x 16gr (gói dài),402000,402000,0,0,0,,,,,,,,,,trung nguyên legend cà phê sữa
278678870,Trung Nguyên Legend - Cà phê rang xay I Khát vọng - Bịch 500gr,117000,117000,0,0,0,,,,,,,,,,trung nguyên legend cà phê rang
278434040,[ Tặng Hũ Thủy Tinh NESCAFÉ NESCAFE HOẶC TRÀ SỮA NESTEA ] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo,175000,180000,5000,5,1,,,,,,,,,,cà phê hòa tan nescafé vị
277880353,Gạo ST25 Harmony Vinh Hiển 5KG,125000,170000,45000,5,130,,,,,,,,,,gạo st harmony
277838067,[Tặng Trà Sưã Boba] Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng,163000,170000,7000,5,10,,,,,,,,,,cà phê hòa tan nescafé
273523198,Ngũ cốc ăn sáng HONEY STARS (Hộp 300g),105000,110000,5000,5,6,,,,,,,,,,ngũ cốc ăn sáng
273643944,Thực phẩm bổ sung Trà Việt Quất và Hoa Atiso Đỏ NESTEA 10 gói x 12g,40000,57000,17000,5,9,,,,,,,,,,thực phẩm bổ sung trà việt quất
89503739,Bịch 15 gói Thức Uống Lúa Mạch Nestlé MILO Sữa 3 Trong 1 (22g/Gói),63000,75000,12000,5,185,,,,,,,,,,bịch gói thức uống lúa mạch
273983211,Ngũ cốc ăn sáng Fitnesse Granola Diêm Mạch,129000,143000,14000,5,5,,,,,,,,,,ngũ cốc ăn sáng granola
272421927,[TẶNG 5 Hộp Sữa Gấu] Combo 4 hộp nước cốt cà phê NESCAFÉ - CÀ PHÊ SỮA ĐÁ (4 hộp x 5 gói x 75ml),222000,222000,0,5,12,,,,,,,,,,combo hộp nước cốt
277779080,[Tặng hộp 2 ly thủy tinh] Combo 2 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói,350000,400000,50000,5,12,,,,,,,,,,combo bịch nescafe in
277779078,[Tặng bộ 2 ly thủy tinh] Combo 2 Bịch Cà phê đen hòa tan NESCAFE Café Việt (Túi 35 gói x 16g),325000,355000,30000,5,9,,,,,,,,,,combo bịch cà phê đen
274957926,Tương Ớt Nam Dương Đặc Biệt Cay 400g,14000,14000,0,5,1,,,,,,,,,,tương ớt nam dương đặc biệt cay
274798897,[Tặng Ca Đá 900ml ] Combo 3 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói,525000,570000,45000,5,27,,,,,,,,,,combo bịch nescafe in
274273465,Thùng sữa đậu nành Vinasoy Fami Green soy không bổ sung đường (36 hộp x 180ml),187000,242000,55000,5,5,,,,,,,,,,thùng sữa đậu nành vinasoy fami
15973974,Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp),409000,566000,157000,4.8,1226,,,,,,,,,,thùng hộp sữa nestlé
272635031,Sữa lúa mạch Nestlé MILO ÍT ĐƯỜNG - thùng 48 hộp x 110ml,298000,325000,27000,5,8,,,,,,,,,,sữa lúa mạch nestlé
114809887,Sữa lúa mạch Nestlé MILO Nguyên chất 400g (hũ nhựa) - Giao mẫu ngẫu nhiên,93000,200000,107000,5,177,,,,,,,,,,sữa lúa mạch nestlé
273983210,Ngũ cốc ăn sáng Fitnesse Granola Nam Việt Quất & Hạt Bí Ngô (gói 300g),129000,143000,14000,4.8,4,,,,,,,,,,ngũ cốc ăn sáng granola
76755601,Sữa Lúa Mạch Nestlé MILO Lon Thùng 24 Lon x 240 ml (4x6x240ml),384000,394000,10000,5,175,,,,,,,,,,sữa lúa mạch nestlé
274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa,397000,471000,74000,5,36,,,,,,,,,,thùng hộp sữa nestlé
274086107,Tặng Ca Đá 900ml] Combo 3 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng,489000,500000,11000,5,48,,,,,,,,,,tặng ca đá combo bịch
272635015,[Tặng Ca đá 900ml ] Combo 3 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46  gói,533000,600000,67000,5,16,,,,,,,,,,combo bịch nescafe in
272635007,[ Tặng Hũ Thủy Tinh HOẶC Trà Sữa Boba] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo,175000,190000,15000,4.8,45,,,,,,,,,,cà phê hòa tan nescafé vị
272117281,Sữa chua uống hương dâu Vinamilk Susu - Thùng 48 chai 80ml,183000,230000,47000,5,3,,,,,,,,,,sữa chua uống hương dâu
272117279,Sữa chua uống hương cam Vinamilk Susu - Thùng 48 chai 80ml,183000,230000,47000,0,0,,,,,,,,,,sữa chua uống hương
249971809,Đường kính trắng Đường An Khê 1kg,29000,40000,11000,5,9,,,,,,,,,,đường kính trắng đường
